text,pos,definition
infrastructure,noun,(systems theory) An underlying base or foundation especially for an organization or system.
infrastructure,noun,"The basic facilities, services and installations needed for the functioning of a community or society."
input,noun,The act or process of putting in; infusion.
input,noun,"That which is put in, as in an amount."
input,noun,"Contribution of work or information, as an opinion or advice."
input,noun,Something fed into a process with the intention of it shaping or affecting the output of that process.
input,verb,To put in; put on.
input,verb,To enter data.
input,verb,To accept data that is entered.
insider,noun,"A person who has special knowledge about the inner workings of a group, organization, or institution."
insider,noun,A person who is within an enclosed space.
inspection,noun,"The act of examining something, often closely."
inspection,noun,An organization that checks that certain laws or rules are obeyed.
interactive,noun,A feature (as in a museum) that can be interacted with.
interactive,adjective,Interacting with or communicating with and reacting to each other; influencing or having an effect on each other; acting or capable of acting on each other or with the other.
interactive,adjective,Responding to the user.
interface,noun,The point of interconnection or contact between entities.
interface,noun,A thin layer or boundary between different substances or two phases of a single substance.
interface,noun,The point of interconnection between systems or subsystems.
interface,noun,The connection between a user and a machine.
interface,noun,The connection between parts of software.
interface,noun,"In object-oriented programming, a piece of code defining a set of operations that other code must implement."
interface,noun,The internal surface of a coiled protein (compare exoface).
interface,verb,To construct an interface for.
interface,verb,To connect through an interface.
interface,verb,To serve as an interface.
interface,verb,To meet for discussion.
internet,noun,Any set of computer networks that communicate using the Internet Protocol. (An intranet.)
internet,noun,"The Internet, the largest global internet."
internet,noun,"An internet connection, internet connectivity, access to the internet."
internet,noun,"A fictitious unit of scoring, awarded for making outstanding posts."
internet,verb,To use the Internet; to search for something using the Internet; to surf the Internet.
ironically,adverb,(manner) In an ironic manner; in a way displaying irony.
ironically,adverb,(evaluative) Used to draw attention to an ironic aspect of a situation being described.
irrelevant,adjective,"Not related, not applicable, unimportant, not connected."
jazz,noun,"A musical art form rooted in West African cultural and musical expression and in the African American blues tradition, with diverse influences over time, commonly characterized by blue notes, syncopation, swing, call and response, polyrhythms and improvisation."
jazz,noun,"Energy, excitement, excitability."
jazz,noun,The substance or makeup of a thing.
jazz,noun,Unspecified thing(s).
jazz,noun,"(with positive terms) Something of excellent quality, the genuine article."
jazz,noun,Nonsense.
jazz,noun,"Semen, jizz."
jazz,verb,To destroy.
jazz,verb,To play (jazz music).
jazz,verb,To dance to the tunes of jazz music.
jazz,verb,"To enliven, brighten up, make more colourful or exciting; excite"
jazz,verb,To complicate.
jazz,verb,"To have sex for money, to prostitute oneself."
jazz,verb,To move (around/about) in a lively or frivolous manner; to fool around.
jazz,verb,To distract or pester.
jazz,verb,To ejaculate.
jeans,noun,Denim.
jeans,noun,A pair of trousers made from denim cotton.
judgement,noun,The act of judging.
judgement,noun,"The power or faculty of performing such operations; especially, when unqualified, the faculty of judging or deciding rightly, justly, or wisely"
judgement,noun,The conclusion or result of judging; an opinion; a decision.
judgement,noun,"The act of determining, as in courts of law, what is conformable to law and justice; also, the determination, decision, or sentence of a court, or of a judge."
judgement,noun,The final award; the last sentence.
labour,noun,"Effort expended on a particular task; toil, work."
labour,noun,That which requires hard work for its accomplishment; that which demands effort.
labour,noun,"Workers in general; the working class, the workforce; sometimes specifically the labour movement, organised labour."
labour,noun,A political party or force aiming or claiming to represent the interests of labour.
labour,noun,The act of a mother giving birth.
labour,noun,The time period during which a mother gives birth.
labour,noun,The pitching or tossing of a vessel which results in the straining of timbers and rigging.
labour,noun,"An old measure of land area in Mexico and Texas, approximately 177 acres."
labour,verb,"To toil, to work."
labour,verb,"To belabour, to emphasise or expand upon (a point in a debate, etc)."
labour,verb,"To be oppressed with difficulties or disease; to do one's work under conditions which make it especially hard or wearisome; to move slowly, as against opposition, or under a burden."
labour,verb,To suffer the pangs of childbirth.
labour,verb,"To pitch or roll heavily, as a ship in a turbulent sea."
laptop,noun,A laptop computer.
laser,noun,"A device that produces a monochromatic, coherent beam of light."
laser,noun,A beam of light produced by such a device; a laser beam.
laser,noun,A laser printer.
laser,verb,To cut with a laser
laser,verb,To throw with laser-like precision
laser,noun,A gum resin obtained from certain umbelliferous plants.
laser,noun,Such a plant.
latest,adjective,Near the end of a period of time.
latest,adjective,"Specifically, near the end of the day."
latest,adjective,(usually not comparable) Associated with the end of a period.
latest,adjective,Not arriving until after an expected time.
latest,adjective,Not having had an expected menstrual period.
latest,adjective,"Deceased, dead: used particularly when speaking of the dead person's actions while alive. (Often used with ""the""; see usage notes.)"
latest,adjective,"Existing or holding some position not long ago, but not now; departed, or gone out of office."
latest,adjective,Recent — relative to the noun it modifies.
latest,adjective,"Of a star or class of stars, cooler than the sun."
latest,adverb,"After a deadline has passed, past a designated time."
latest,adverb,"Formerly, especially in the context of service in a military unit."
latest,adverb,Not long ago; just now.
latest,noun,"The most recent thing, particularly information or news."
layout,noun,A structured arrangement of items within certain limits.
layout,noun,A plan for such arrangement.
layout,noun,The act of laying out something.
layout,noun,"The process of arranging editorial content, advertising, graphics and other information to fit within certain constraints."
layout,noun,"A map or a drawing of a construction site showing the position of roads, buildings or other constructions."
layout,noun,A specification of an integrated circuit showing the position of the physical components that will implement the schematic in silicon.
licence,noun,A legal document giving official permission to do something; a permit.
licence,noun,"The legal terms under which a person is allowed to use a product, especially software."
licence,noun,Freedom to deviate deliberately from normally applicable rules or practices (especially in behaviour or speech).
licence,noun,Excessive freedom; lack of due restraint.
licence,noun,Short for driver's license.
licence,verb,To give a formal (usually written) authorization.
licence,verb,Authorize officially.
lifestyle,noun,A style of living that reflects the attitudes and values of a person or group.
lifestyle,noun,"The totality of the likes and dislikes of a particular section of the market, especially when expressed in terms of the products and services that they would buy; a marketing strategy based on the self-image of such a group."
logo,noun,A visual symbol or emblem that acts as a trademark or a means of identification of a company or organization.
logo,noun,(by extension) An audio recording for the same purpose; a jingle.
logo,noun,A single graphic which contains one or more separate elements.
logo,noun,"An ensign, a badge of office, rank, or power."
lunchtime,noun,The time or hour at or around which lunch is normally eaten.
lunchtime,noun,A break in work or school to eat lunch.
mainstream,noun,"The principal current in a flow, such as a river or flow of air"
mainstream,noun,(usually with the) That which is common; the norm.
mainstream,verb,"To popularize, to normalize, to render mainstream."
mainstream,verb,To become mainstream.
mainstream,verb,To educate (a disabled student) together with non-disabled students.
mainstream,adjective,Used or accepted broadly rather than by small portions of a population or market.
marathon,noun,A 42.195 kilometre (26 mile 385 yard) road race.
marathon,noun,(by extension) Any extended or sustained activity.
marathon,verb,To run a marathon.
marathon,verb,"To watch or read a large number of instalments of (a film, book, TV series, etc.) in one sitting."
marketplace,noun,An open area in a town housing a public market.
marketplace,noun,"The space, actual or metaphorical, in which a market operates."
marketplace,noun,(by extension) The world of commerce and trade.
marketplace,noun,"A place or sphere for the exchange of anything, such as ideas or fashions."
marvellous,adjective,Exciting wonder or surprise; astonishing; wonderful.
maths,noun,"An abstract representational system used in the study of numbers, shapes, structure, change and the relationships between these concepts."
maths,noun,"A person's ability to count, calculate, and use different systems of mathematics at differing levels."
meaningful,adjective,"Having meaning, significant."
means,verb,To lament.
means,verb,To intend.
means,verb,To convey (a meaning).
means,verb,To have conviction in (something said or expressed); to be sincere in (what one says).
means,verb,To cause or produce (a given result); to bring about (a given result).
means,verb,(usually with to) To be of some level of importance.
means,noun,(now chiefly in the plural) A method or course of action used to achieve some result.
means,noun,(in the singular) An intermediate step or intermediate steps.
means,noun,Something which is intermediate or in the middle; an intermediate value or range of values; a medium.
means,noun,"The middle part of three-part polyphonic music; now specifically, the alto part in polyphonic music; an alto instrument."
means,noun,"The average of a set of values, calculated by summing them together and dividing by the number of terms; the arithmetic mean."
means,noun,"Any function of multiple variables that satisfies certain properties and yields a number representative of its arguments; or, the number so yielded; a measure of central tendency."
means,noun,"Either of the two numbers in the middle of a conventionally presented proportion, as 2 and 3 in 1:2=3:6."
means,noun,Resources; riches.
means,noun,An instrument or condition for attaining a purpose.
memo,noun,A short note; a memorandum.
memo,noun,A record of partial results that can be reused later without recomputation.
memo,verb,To record something; to make a note of something.
memo,verb,"To send someone a note about something, for the record."
messy,adjective,"(of a place, situation, person, etc) In a disorderly state; chaotic; disorderly."
messy,adjective,(of a person) Prone to causing mess.
messy,adjective,(of a situation) Difficult or unpleasant to deal with.
minimal,adjective,"The smallest possible amount, quantity, or degree."
minimal,adjective,Characterised by the use of simple form or structures.
minimal,adjective,Characterised by the repetition and gradual alteration of short phrases.
mom,noun,(familiar) mother.
mom,noun,An adult female owner of a pet.
mom,verb,To care in a motherly way.
mommy,noun,(usually childish) Mother.
mommy,verb,To treat someone like a mother would; to mother someone.
mommy,adjective,(chiefly in the superlative) Characteristic of a mother; motherly.
motivate,verb,To provide someone with an incentive to do something; to encourage.
motivate,verb,To animate; to propel; to cause to take action
motivation,noun,Willingness of action especially in behavior.
motivation,noun,The action of motivating.
motivation,noun,Something which motivates.
motivation,noun,An incentive or reason for doing something.
motivation,noun,"A research rating that measures how the rational and emotional elements of a commercial affect consumer intention to consider, visit, or buy something."
motorcycle,noun,"An open-seated motor vehicle with handlebars instead of a steering wheel, and having two (or sometimes three) wheels."
motorcycle,verb,To ride a motorcycle.
motorist,noun,One who drives a motor vehicle.
motorway,noun,"(parts of Australia) A broad highway designed for high speed traffic, having restrictions on the vehicle types permitted and merging lanes instead of cross traffic; in parts of the United States and other places called freeway."
movie,noun,A recorded sequence of images displayed on a screen at a rate sufficiently fast to create the appearance of motion.
movie,noun,(usually plural) A cinema.
nationwide,adjective,Extending throughout an entire nation.
nationwide,adverb,Throughout a nation.
nearby,adjective,"Adjacent, near, close by"
nearby,adverb,"Next to, close to"
neighbour,noun,A person living on adjacent or nearby land; a person situated adjacently or nearby; anything (of the same type of thing as the subject) in an adjacent or nearby position.
neighbour,noun,One who is near in sympathy or confidence.
neighbour,noun,A fellow human being.
neighbour,verb,To be adjacent to
neighbour,verb,"(followed by ""on""; figurative) To be similar to, to be almost the same as."
neighbour,verb,To associate intimately with; to be close to.
neighbourhood,noun,"The quality of being a neighbor, of living nearby, next to each-other; proximity."
neighbourhood,noun,"Close proximity, nearby area; particularly, close proximity to one's home."
neighbourhood,noun,The inhabitants of a residential area.
neighbourhood,noun,A formal or informal division of a municipality or region.
neighbourhood,noun,An approximate amount.
neighbourhood,noun,The quality of physical proximity.
neighbourhood,noun,The disposition becoming a neighbor; neighborly kindness or good will.
neighbourhood,noun,Within a topological space:
neighbourhood,noun,Within a metric space:
neighbourhood,noun,The infinitesimal open set of all points that may be reached directly from a given point.
neighbourhood,noun,The set of all the vertices adjacent to a given vertex.
neighbouring,adjective,Situated or living nearby or adjacent to.
newsletter,noun,"A periodically sent publication containing current events or the like, generally on a particular topic or geared toward a limited audience."
nonetheless,adverb,Nevertheless.
noone,pronoun,"Used in contrast to anyone, someone or everyone: not one person; nobody."
noone,noun,The ninth hour of the day counted from sunrise; around three o'clock in the afternoon.
noone,noun,"Time of day when the sun is in its zenith; twelve o'clock in the day, midday."
noone,noun,The corresponding time in the middle of the night; midnight.
noone,noun,The highest point; culmination.
noone,noun,The letter ن in the Arabic script.
obviously,adverb,In an obvious or clearly apparent manner.
obviously,adverb,"Used as a filler word, or to introduce information even when not obvious."
ok,adjective,"All right, permitted."
ok,adjective,"Satisfactory, reasonably good; not exceptional."
ok,adjective,In good health or a good emotional state.
online,verb,"To bring (a system, etc.) online; to promote to an active or running state."
online,adjective,Of a system: connected (generally electrically) to a larger network.
online,adjective,"Available over, or delivered from, the Internet."
online,adjective,Connected to the Internet.
online,adjective,"Available on a computer system, even if not networked."
online,adjective,"Of a system: active, particularly building facilities (such as power) or a factory or power plant."
online,adverb,"While online; while in a running or active state, or connected to the Internet."
operational,adjective,"Of or relating to operations, especially military operations."
operational,adjective,Functioning and ready for use.
operational,adjective,Effective or operative.
operational,adjective,Determined by means of practical measures.
opt,verb,To choose; select.
organizational,adjective,"Of, relating to, or produced by an organization."
organizational,adjective,Relating to the action of organizing something.
pants,noun,"(Manchester) An outer garment that covers the body from the waist downwards, covering each leg separately, usually as far as the ankles; trousers."
pants,noun,An undergarment that covers the genitals and often the buttocks and the neighbouring parts of the body; underpants.
pants,noun,Rubbish; something worthless.
pants,adjective,"Of inferior quality, rubbish."
pants,verb,To pull someone’s pants down; to forcibly remove someone’s pants.
pants,noun,A quick breathing; a catching of the breath; a gasp.
pants,noun,Eager longing.
pants,noun,A violent palpitation of the heart.
pants,noun,A pair of pants (trousers or underpants).
pants,noun,(used attributively as a modifier) Of or relating to pants.
pants,noun,(Scotland and northeast England) Any public drinking fountain.
pants,verb,"To breathe quickly or in a labored manner, as after exertion or from eagerness or excitement; to respire with heaving of the breast; to gasp."
pants,verb,To long eagerly; to desire earnestly.
pants,verb,To long for (something); to be eager for (something).
pants,verb,"Of the heart, to beat with unnatural violence or rapidity; to palpitate."
pants,verb,To sigh; to flutter; to languish.
pants,verb,"To heave, as the breast."
pants,verb,"To bulge and shrink successively, of iron hulls, etc."
percent,noun,"A percentage, a proportion (especially per hundred)."
percent,noun,One part per hundred; one percent.
percent,adverb,For every hundred (used with preceding numeral to form a noun phrase expressing a proportion).
phone,noun,"A device for transmitting conversations and other sounds in real time across distances, now often a small portable unit also capable of running software etc."
phone,verb,To call (someone) using a telephone.
phone,noun,"A speech segment that possesses distinct physical or perceptual properties, considered as a physical event without regard to its place in the phonology of a language."
photocopy,noun,A copy made using a photocopier.
photocopy,verb,To make a copy using a photocopier.
pipeline,noun,"A conduit made of pipes used to convey water, gas or petroleum etc."
pipeline,noun,"A channel (either physical or logical) by which information is transmitted sequentially (that is, the first information in is the first information out)."
pipeline,noun,A system or process through which something is conducted.
pipeline,noun,"The inside of a wave that a surfer is riding, when the wave has started closing over it."
pipeline,verb,"To design (a microchip etc.) so that processing takes place in efficient stages, the output of each stage being fed as input to the next."
pipeline,verb,To convey something by a system of pipes
pipeline,verb,To lay a system of pipes through something
pizza,noun,"A baked Italian dish of a thinly rolled bread dough crust typically topped before baking with tomato sauce, cheese and other ingredients such as meat, vegetables or fruit"
pizza,noun,A single instance of this dish
postoffice,noun,"A place (building, office, shop, or counter) concerned with the business of delivering letters, post or mail and selling stamps, etc."
postoffice,noun,An organisation that delivers letters.
postoffice,noun,A party game involving the exchange of kisses.
precisely,adverb,(manner) In a precise manner; exactly.
precisely,adverb,(focus) Used to provide emphasis.
predator,noun,"Any animal or other organism that hunts and kills other organisms (their prey), primarily for food."
predator,noun,Someone who attacks and plunders for gain.
predator,noun,A sexual predator.
privatization,noun,The transfer of a company or organization from government to private ownership and control.
processing,verb,To perform a particular process on a thing.
processing,verb,"To retrieve, store, classify, manipulate, transmit etc. (data, signals, etc.), especially using computer techniques."
processing,verb,"To think about a piece of information, or a concept, in order to assimilate it, and perhaps accept it in a modified state."
processing,verb,To develop photographic film.
processing,verb,To take legal proceedings against.
processing,verb,To walk in a procession
processing,noun,The action of the verb to process.
processing,noun,The act of taking something through a set of prescribed procedures.
processing,noun,"The act of retrieving, storing, classifying, manipulating, transmitting etc. data, especially via computer techniques."
processor,noun,"A person or institution who processes things (foods, photos, applications, etc.)."
processor,noun,"A device which processes, which changes something (a computer processor, food processor, etc.)."
processor,noun,A central processing unit.
processor,noun,A microprocessor.
programming,verb,To enter a program or other instructions into (a computer or other electronic device) to instruct it to do a particular task.
programming,verb,To develop (software) by writing program code.
programming,verb,To put together the schedule of an event.
programming,verb,To cause to automatically behave in a particular way.
programming,noun,"The designing, scheduling or planning of a radio or television program/programme."
programming,noun,Brain-washing
programming,noun,The act of writing a computer program.
programming,noun,"The software that controls a machine, or the logic expressed in such software; operating instructions."
promotion,noun,An advancement in rank or position.
promotion,noun,Dissemination of information in order to increase its popularity.
promotion,noun,An event intended to increase the reach or image of a product or brand.
promotion,noun,Forward motion. (Contrast remotion.)
pub,noun,"A public house where beverages, primarily alcoholic, may be bought and consumed, also providing food and sometimes entertainment such as live music or television."
pub,noun,A public server.
pub,verb,To go to one or more public houses.
pub,noun,The act of publishing printed or other matter.
pub,noun,"An issue of printed or other matter, offered for sale or distribution."
pub,noun,The communication of information to the general public etc.
pub,verb,To publish
questionnaire,noun,A form containing a list of questions; a means of gathering information for a survey
questionnaire,verb,To survey using questionnaires
racism,noun,"Belief that there are distinct human races with inherent differences which determine their abilities, and generally that some are superior and others inferior."
racism,noun,"The policies, practices, or systems (e.g. government or political) promoting this belief or promoting the dominance of one or more races over others."
racism,noun,Prejudice or discrimination based upon race or ethnicity; an action of such discrimination.
racist,noun,A person who believes in or supports racism; a person who believes that a particular race is superior to others.
racist,adjective,"Constituting, exhibiting, advocating or pertaining to racism."
racist,adjective,Discriminatory.
radar,noun,"A method of detecting distant objects and determining their position, velocity, or other characteristics by analysis of sent radio waves (usually microwaves) reflected from their surfaces"
radar,noun,"A type of system using such method, differentiated by platform, configuration, frequency, power, and other technical attributes."
radar,noun,An installation of such a system or of the transmitting and receiving apparatus.
radar,noun,A superior ability to detect something.
radar,verb,"To scan with radar, or as if with radar."
radio,noun,The technology that allows for the transmission of sound or other signals by modulation of electromagnetic waves.
radio,noun,A device that can capture (receive) the signal sent over radio waves and render the modulated signal as sound.
radio,noun,"On-board entertainment system in a car, usually including a radio receiver as well as the capability to play audio from recorded media."
radio,noun,A device that can transmit radio signals.
radio,noun,The continuous broadcasting of sound via the Internet in the style of traditional radio.
radio,verb,To use two-way radio to transmit (a message) (to another radio or other radio operator).
radio,verb,"To order or assist (to a location), using telecommunications."
recycle,noun,An act of recycling.
recycle,verb,To break down and reuse component materials.
recycle,verb,To reuse as a whole.
recycle,verb,To collect or place in a bin for recycling.
recycle,verb,To be recycled.
recycle,verb,To discard into a recycling bin.
regulatory,adjective,Of or pertaining to regulation.
remains,noun,(chiefly in the plural) That which is left; relic; remainder.
remains,noun,(in the plural) That which is left of a human being after the life is gone; relics; a dead body.
remains,noun,"Posthumous works or productions, especially literary works."
remains,noun,State of remaining; stay.
remains,verb,To stay behind while others withdraw; to be left after others have been removed or destroyed; to be left after a number or quantity has been subtracted or cut off; to be left as not included or comprised.
remains,verb,"To continue unchanged in place, form, or condition, or undiminished in quantity; to abide; to stay; to endure; to last."
remains,verb,To await; to be left to.
remains,verb,To continue in a state of being.
remains,noun,What is left after a person (or any organism) dies; a corpse.
remains,noun,Historical or archaeological relics.
remains,noun,The extant writings of a deceased person.
remains,noun,All that is left of the stock of some things; remnants.
remarkably,adverb,(manner) In a remarkable manner.
remarkably,adverb,(degree) To a noteworthy extent.
remarkably,adverb,(evaluative) Used to draw special attention to a proposition.
reportedly,adverb,According to reports or rumors; supposedly.
reporting,verb,"To relate details of (an event or incident); to recount, describe (something)."
reporting,verb,"To repeat (something one has heard), to retell; to pass on, convey (a message, information etc.)."
reporting,verb,To take oneself (to someone or something) for guidance or support; to appeal.
reporting,verb,"To notify someone of (particular intelligence, suspicions, illegality, misconduct etc.); to make notification to relevant authorities; to submit a formal report of."
reporting,verb,"To make a formal statement, especially of complaint, about (someone)."
reporting,verb,To show up or appear at an appointed time; to present oneself.
reporting,verb,To write news reports (for); to cover as a journalist or reporter.
reporting,verb,To be accountable to or subordinate to (someone) in a hierarchy; to receive orders from (someone); to give official updates to (someone who is above oneself in a hierarchy).
reporting,verb,To return or present as the result of an examination or consideration of any matter officially referred.
reporting,verb,"To take minutes of (a speech, the doings of a public body, etc.); to write down from the lips of a speaker."
reporting,verb,To refer.
reporting,verb,"To return or repeat, as sound; to echo."
reporting,noun,"The creation of reports, as for a business or a journal."
robot,noun,"A machine built to carry out some complex task or group of tasks by physically moving, especially one which can be programmed."
robot,noun,"An intelligent mechanical being designed to look like a human or other creature, and usually made from metal."
robot,noun,A person who does not seem to have any emotions.
robot,noun,A traffic light (from earlier robot policeman).
robot,noun,A theodolite which follows the movements of a prism and can be used by a one-man crew.
robot,noun,A style of dance popular in disco in which the dancer imitates the stiff movements of a stereotypical android robot.
rugby,noun,(usually uncountable) A form of football in which players can hold or kick an ovoid ball. The ball cannot be handled forwards and points are scored by touching the ball to the ground in the area past their opponent’s territory or kicking the ball between goalposts and over a crossbar.
rugby,noun,"A loose fitting shirt with a collar, as worn by rugby players."
rugby,noun,"Rubber cement, contact cement."
rumour,noun,"A statement or claim of questionable accuracy, from no known reliable source, usually spread by word of mouth."
rumour,noun,Information or misinformation of the kind contained in such claims.
rumour,verb,(usually used in the passive voice) To tell a rumor about; to gossip.
rumour,noun,"A prolonged, indistinct noise."
seminar,noun,"A class held for advanced studies in which students meet regularly to discuss original research, under the guidance of a professor."
seminar,noun,A meeting held for the exchange of useful information by members of a common business community.
seriously,adverb,(manner) In a serious or literal manner.
seriously,adverb,Gravely; deeply; very much.
seriously,adverb,Used to attempt to introduce a serious point in a less serious conversation
seriously,adverb,"Used to call back to a previous point, either in disbelief or emphasis"
severely,adverb,In a severe manner.
sexy,adjective,(of a person) Having sex appeal; suggestive of sex.
sexy,adjective,That can sexually attract or arouse.
sexy,adjective,"(of a thing or concept) interesting, attractive, intriguing, or appealing."
sexy,adjective,Sexual.
sexy,adjective,Used to describe prime numbers that differ from each other by six.
sibling,noun,A person who shares a parent; one's brother or sister who one shares a parent with.
sibling,noun,A node in a data structure that shares its parent with another node.
sibling,noun,"The most closely related species, or one of several most closely species when none can be determined to be more closely related."
simultaneously,adverb,Occurring at the same time.
ski,noun,One of a pair of long flat runners designed for gliding over snow or water
ski,noun,"One of a pair of long flat runners under some flying machines, used for landing"
ski,verb,To move on skis
ski,verb,"To travel over (a slope etc.) on skis; to travel on skis at (a place), (especially as a sport)"
skiing,verb,To move on skis
skiing,verb,"To travel over (a slope etc.) on skis; to travel on skis at (a place), (especially as a sport)"
skiing,noun,A group of sports utilizing skis as primary equipment.
soccer,noun,Association football
soccer,verb,"To kick the football directly off the ground, without using one's hands."
software,noun,"Encoded computer instructions, usually modifiable (unless stored in some form of unalterable memory such as ROM)."
software,noun,"The human beings involved in warfare, as opposed to hardware such as weapons and vehicles."
someone,noun,A partially specified but unnamed person.
someone,noun,An important person
someone,pronoun,Some person.
spam,noun,(rarely countable) Unsolicited bulk electronic messages.
spam,noun,Any undesired electronic content automatically generated for commercial purposes.
spam,noun,A type of tinned meat made mainly from ham.
spam,verb,To send spam (i.e. unsolicited electronic messages.)
spam,verb,To send spam (i.e. unsolicited electronic messages) to a person or entity.
spam,verb,(by extension) To use (a spell or ability) rapidly and repeatedly.
spam,verb,To post the same text repeatedly with disruptive effect; to flood.
specialized,verb,"To make distinct or separate, particularly:"
specialized,verb,"To become distinct or separate, particularly:"
specialized,adjective,Highly skilled in a specific field.
spokesperson,noun,A person who acts as the voice of a group of people.
spokeswoman,noun,A woman who speaks as the voice of a group of people.
spotlight,noun,"A bright, directional light or lamp, especially one used to illuminate the focus or center of attention on a stage."
spotlight,noun,The circle of light shed by a spotlight.
spotlight,noun,The center of attention; the highlight or most important part.
spotlight,verb,To illuminate with a spotlight.
spotlight,verb,To draw attention to.
stabilize,verb,To make stable.
stabilize,verb,To become stable.
sublist,noun,A list that includes some of the items from a longer list.
successfully,adverb,In a successful manner; with success; without failing.
suddenly,adverb,Happening quickly and with little or no warning; in a sudden manner.
supermarket,noun,"A large self-service store that sells groceries and, usually, medications, household goods and/or clothing."
supermarket,noun,A chain of such stores.
supermarket,noun,A one-stop shop; a place offering a range of products or services.
supportive,adjective,Providing support.
supposedly,adverb,As a matter of supposition; in the beliefs or according to the claims of some people.
surprisingly,adverb,"In a way that causes surprise because it is unexpected, or unusual."
taxi,noun,"A vehicle that may be hired for single journeys by members of the public, driven by a taxi driver."
taxi,noun,A share taxi.
taxi,verb,To move an aircraft on the ground under its own power.
taxi,verb,To travel by taxicab.
teenager,noun,A person between 13 and 19 years of age; an adolescent.
television,noun,"An electronic communication medium that allows the transmission of real-time visual images, and often sound."
television,noun,A device for receiving television signals and displaying them in visual form.
television,noun,"Collectively, the programs broadcast via the medium of television."
television,noun,Vision at a distance.
television,verb,To watch television.
telly,noun,Television.
telly,noun,A television set.
telly,noun,A hotel or motel.
terms,noun,"That which limits the extent of anything; limit, extremity, bound, boundary."
terms,noun,A chronological limitation or restriction.
terms,noun,Any of the binding conditions or promises in a legal contract.
terms,noun,"A point, line, or superficies that limits."
terms,noun,"A word or phrase, especially one from a specialised area of knowledge."
terms,noun,Relations among people.
terms,noun,"Part of a year, especially one of the three parts of an academic year."
terms,noun,Duration of a set length; period in office of fixed length.
terms,noun,"With respect to a pregnancy, the period during which birth usually happens (approximately 40 weeks from conception)."
terms,noun,(of a patent) The maximum period during which the patent can be maintained into force.
terms,noun,A menstrual period.
terms,noun,"Any value (variable or constant) or expression separated from another term by a space or an appropriate character, in an overall expression or table."
terms,noun,"The subject or the predicate of a proposition; one of the three component parts of a syllogism, each one of which is used twice."
terms,noun,An essential dignity in which unequal segments of every astrological sign have internal rulerships which affect the power and integrity of each planet in a natal chart.
terms,noun,"A statue of the upper body, sometimes without the arms, ending in a pillar or pedestal."
terms,noun,A piece of carved work placed under each end of the taffrail.
terms,verb,To phrase a certain way; to name or call.
terms,noun,A computer program that emulates a physical terminal.
terms,noun,One whose employment has been terminated
terms,verb,To terminate one's employment
terrain,noun,"A single, distinctive rock formation; an area having a preponderance of a particular rock or group of rocks."
terrain,noun,An area of land or the particular features of it.
terribly,adverb,So as to cause terror or awe.
terribly,adverb,Very; extremely.
terribly,adverb,Very badly.
textbook,noun,"A coursebook, a formal manual of instruction in a specific subject, especially one for use in schools or colleges."
textbook,adjective,"Of or pertaining to textbooks or their style, especially in being dry and pedagogical; textbooky, textbooklike."
textbook,adjective,"Having the typical characteristics of some class of phenomenon, so that it might be included as an example in a textbook."
thankfully,adverb,In a thankful manner; giving thanks.
thankfully,adverb,"(sometimes proscribed) fortunately, gratefully."
theirs,pronoun,"That which belongs to them; the possessive case of they, used without a following noun."
therapist,noun,"Someone who provides therapy, usually professionally."
today,noun,A current day or date.
today,noun,From 6am to 6pm on the current day.
today,adverb,On the current day or date.
today,adverb,In the current era; nowadays.
tourism,noun,"The act of travelling or sightseeing, particularly away from one's home."
tourism,noun,The industry in which such travels and sightseeing are organized.
tourism,noun,"Collectively, the tourists visiting a place or landmark."
tourism,noun,The act of visiting another region or jurisdiction for a particular purpose.
trademark,noun,"A word, symbol, or phrase used to identify a particular company's product and differentiate it from other companies' products."
trademark,noun,"Any proprietary business, product or service name."
trademark,noun,The aspect for which someone or something is best known; a hallmark or typical characteristic.
trademark,verb,To register something as a trademark.
trademark,verb,To so label a product.
trademark,adjective,"Distinctive, characteristic, signature"
trauma,noun,"Any serious injury to the body, often resulting from violence or an accident."
trauma,noun,An emotional wound leading to psychological injury.
trauma,noun,An event that causes great distress.
traveller,noun,"A member of a particular nomadic ethnic minority in Ireland, the Pavee."
traveller,noun,"One who travels, especially to distant lands."
traveller,noun,A salesman who travels from place to place on behalf of a company.
traveller,noun,"Someone who lives (particularly in the UK) in a caravan, bus or other vehicle rather than a fixed abode."
traveller,noun,A list and record of instructions that follows a part in a manufacturing process.
traveller,noun,A metal ring that moves freely on part of a ship’s rigging.
traveller,noun,A rail or track for a sliding curtain.
traveller,noun,"A sheet of paper that is circulated with the board of cards, on which players record their scores."
traveller,noun,"(Mississippi Delta) A styrofoam cup filled with liquor and usually ice, to be taken away from a place."
tsunami,noun,"A very large and destructive wave, generally caused by a tremendous disturbance in the ocean, such as an undersea earthquake or volcanic eruption. Tsunami are usually a series of waves, or wave train."
tsunami,noun,A large and generally unstoppable surge.
turnout,noun,The act of coming forth.
turnout,noun,The number of people who attend or participate in an event (especially an election) or are present at a venue.
turnout,noun,A place to pull off a road.
turnout,noun,A place where moveable rails allow a train to switch tracks; a set of points.
turnout,noun,A quitting of employment for the purpose of forcing increase of wages; a strike.
turnout,noun,A striker.
turnout,noun,"That which is prominently brought forward or exhibited; hence, an equipage."
turnout,noun,Net quantity of produce yielded.
tv,noun,The assessed value of an asset from which the tax owing is computed.
